"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"860Z200US11520","ZCTA5 11520","121748","10356",
"860Z200US11530","ZCTA5 11530","228143","26666",
"860Z200US11542","ZCTA5 11542","93242","11493",
"860Z200US11545","ZCTA5 11545","182528","29197",
"860Z200US11547","ZCTA5 11547","95972","83701",
"860Z200US11548","ZCTA5 11548","122250","88869",
"860Z200US11549","ZCTA5 11549","-","**",
"860Z200US11550","ZCTA5 11550","92677","11555",
"860Z200US11552","ZCTA5 11552","155154","14959",
"860Z200US11553","ZCTA5 11553","121127","12424",
"860Z200US11554","ZCTA5 11554","133971","7325",
"860Z200US11556","ZCTA5 11556","-","**",
"860Z200US11557","ZCTA5 11557","176274","24382",
"860Z200US11558","ZCTA5 11558","111032","6740",
"860Z200US11559","ZCTA5 11559","142830","30841",
"860Z200US11560","ZCTA5 11560","163750","59093",
"860Z200US11561","ZCTA5 11561","141629","6486",
"860Z200US11563","ZCTA5 11563","136887","12497",
"860Z200US11565","ZCTA5 11565","148049","9872",
"860Z200US11566","ZCTA5 11566","177079","14416",
"860Z200US11568","ZCTA5 11568","250,000+","***",
"860Z200US11569","ZCTA5 11569","81635","56344",
"860Z200US11570","ZCTA5 11570","157163","19225",
"860Z200US11572","ZCTA5 11572","148790","7722",
"860Z200US11575","ZCTA5 11575","126146","24198",
"860Z200US11576","ZCTA5 11576","216250","41145",
"860Z200US11577","ZCTA5 11577","182674","13778",
"860Z200US11579","ZCTA5 11579","193590","32271",
"860Z200US11580","ZCTA5 11580","137402","13459",
"860Z200US11581","ZCTA5 11581","142233","7228",
"860Z200US11590","ZCTA5 11590","152960","9892",
"860Z200US11596","ZCTA5 11596","163833","11690",
"860Z200US11598","ZCTA5 11598","190074","26186",
"860Z200US11691","ZCTA5 11691","56135","5545",
"860Z200US11692","ZCTA5 11692","49720","4867",
"860Z200US11693","ZCTA5 11693","68449","11743",
"860Z200US11694","ZCTA5 11694","111011","12498",
"860Z200US11697","ZCTA5 11697","122667","27437",
"860Z200US11701","ZCTA5 11701","117033","8778",
"860Z200US11702","ZCTA5 11702","137652","17267",
"860Z200US11703","ZCTA5 11703","137158","10169",
"860Z200US11704","ZCTA5 11704","129195","3941",
"860Z200US11705","ZCTA5 11705","164300","19670",
"860Z200US11706","ZCTA5 11706","119603","6801",
"860Z200US11709","ZCTA5 11709","149191","24721",
"860Z200US11710","ZCTA5 11710","173054","13000",
"860Z200US11713","ZCTA5 11713","108173","16410",
"860Z200US11714","ZCTA5 11714","120172","8669",
"860Z200US11715","ZCTA5 11715","163125","21714",
"860Z200US11716","ZCTA5 11716","128889","18872",
"860Z200US11718","ZCTA5 11718","218000","23916",
"860Z200US11719","ZCTA5 11719","126250","27120",
"860Z200US11720","ZCTA5 11720","134898","10580",
"860Z200US11721","ZCTA5 11721","197179","16000",
"860Z200US11722","ZCTA5 11722","114049","6479",
"860Z200US11724","ZCTA5 11724","250,000+","***",
"860Z200US11725","ZCTA5 11725","168281","8840",
"860Z200US11726","ZCTA5 11726","128425","9116",
"860Z200US11727","ZCTA5 11727","103287","11899",
"860Z200US11729","ZCTA5 11729","136939","7003",
"860Z200US11730","ZCTA5 11730","145652","17912",
"860Z200US11731","ZCTA5 11731","161132","8834",
"860Z200US11732","ZCTA5 11732","148965","22953",
"860Z200US11733","ZCTA5 11733","173281","23624",
"860Z200US11735","ZCTA5 11735","139443","10500",
"860Z200US11738","ZCTA5 11738","140121","16085",
"860Z200US11739","ZCTA5 11739","164286","71769",
"860Z200US11740","ZCTA5 11740","152386","18382",
"860Z200US11741","ZCTA5 11741","144346","8643",
"860Z200US11742","ZCTA5 11742","125162","14187",
"860Z200US11743","ZCTA5 11743","183187","10005",
"860Z200US11746","ZCTA5 11746","164589","11849",
"860Z200US11747","ZCTA5 11747","159540","13936",
"860Z200US11749","ZCTA5 11749","116313","7931",
"860Z200US11751","ZCTA5 11751","116559","17531",
"860Z200US11752","ZCTA5 11752","151917","19384",
"860Z200US11753","ZCTA5 11753","175781","35624",
"860Z200US11754","ZCTA5 11754","123393","19055",
"860Z200US11755","ZCTA5 11755","119364","9370",
"860Z200US11756","ZCTA5 11756","146019","8987",
"860Z200US11757","ZCTA5 11757","127889","6100",
"860Z200US11758","ZCTA5 11758","154110","8648",
"860Z200US11762","ZCTA5 11762","169624","12417",
"860Z200US11763","ZCTA5 11763","120783","9504",
"860Z200US11764","ZCTA5 11764","146813","14413",
"860Z200US11765","ZCTA5 11765","196902","56876",
"860Z200US11766","ZCTA5 11766","153235","19761",
"860Z200US11767","ZCTA5 11767","152985","6877",
"860Z200US11768","ZCTA5 11768","172570","12750",
"860Z200US11769","ZCTA5 11769","123558","22954",
"860Z200US11770","ZCTA5 11770","123571","78030",
"860Z200US11771","ZCTA5 11771","157923","22956",
"860Z200US11772","ZCTA5 11772","105245","5730",
"860Z200US11776","ZCTA5 11776","120573","10288",
"860Z200US11777","ZCTA5 11777","150505","19398",
"860Z200US11778","ZCTA5 11778","126349","12847",
"860Z200US11779","ZCTA5 11779","112180","10999",
"860Z200US11780","ZCTA5 11780","144577","17398",
"860Z200US11782","ZCTA5 11782","147672","10999",
"860Z200US11783","ZCTA5 11783","176993","15944",
"860Z200US11784","ZCTA5 11784","104369","10234",
"860Z200US11786","ZCTA5 11786","163466","20825",
"860Z200US11787","ZCTA5 11787","143101","9183",
"860Z200US11788","ZCTA5 11788","149726","12022",
"860Z200US11789","ZCTA5 11789","131528","23648",
"860Z200US11790","ZCTA5 11790","171133","17901",
"860Z200US11791","ZCTA5 11791","202962","22340",
"860Z200US11792","ZCTA5 11792","146174","21718",
"860Z200US11793","ZCTA5 11793","167068","13907",
"860Z200US11794","ZCTA5 11794","-","**",
"860Z200US11795","ZCTA5 11795","177269","13716",
"860Z200US11796","ZCTA5 11796","173472","20168",
"860Z200US11797","ZCTA5 11797","192609","37773",
"860Z200US11801","ZCTA5 11801","145788","11313",
"860Z200US11803","ZCTA5 11803","187514","15255",
"860Z200US11804","ZCTA5 11804","190469","60513",
"860Z200US11901","ZCTA5 11901","85061","11902",
"860Z200US11930","ZCTA5 11930","123257","41861",
"860Z200US11931","ZCTA5 11931","-","**",
"860Z200US11932","ZCTA5 11932","173672","74091",
"860Z200US11933","ZCTA5 11933","74195","13563",
"860Z200US11934","ZCTA5 11934","170801","11467",
"860Z200US11935","ZCTA5 11935","143750","28031",
"860Z200US11937","ZCTA5 11937","129883","16986",
"860Z200US11939","ZCTA5 11939","102500","20365",
"860Z200US11940","ZCTA5 11940","138639","33944",
"860Z200US11941","ZCTA5 11941","123750","41400",
"860Z200US11942","ZCTA5 11942","93710","17330",
"860Z200US11944","ZCTA5 11944","85298","13493",
"860Z200US11946","ZCTA5 11946","133918","17396",
"860Z200US11947","ZCTA5 11947","-","**",
"860Z200US11948","ZCTA5 11948","148398","33863",
"860Z200US11949","ZCTA5 11949","138864","8594",
"860Z200US11950","ZCTA5 11950","97661","17913",
"860Z200US11951","ZCTA5 11951","110862","14980",
"860Z200US11952","ZCTA5 11952","120139","25317",
"860Z200US11953","ZCTA5 11953","86206","14365",
"860Z200US11954","ZCTA5 11954","142961","35566",
"860Z200US11955","ZCTA5 11955","79844","15159",
"860Z200US11956","ZCTA5 11956","130875","34112",
"860Z200US11957","ZCTA5 11957","94261","45892",
"860Z200US11958","ZCTA5 11958","-","**",
"860Z200US11959","ZCTA5 11959","88542","37429",
"860Z200US11960","ZCTA5 11960","240313","160522",
"860Z200US11961","ZCTA5 11961","76216","8431",
"860Z200US11962","ZCTA5 11962","-","**",
"860Z200US11963","ZCTA5 11963","127746","16287",
"860Z200US11964","ZCTA5 11964","134620","87239",
"860Z200US11965","ZCTA5 11965","-","**",
"860Z200US11967","ZCTA5 11967","111617","12091",
"860Z200US11968","ZCTA5 11968","156219","22154",
"860Z200US11970","ZCTA5 11970","-","**",
"860Z200US11971","ZCTA5 11971","129507","28514",
"860Z200US11972","ZCTA5 11972","-","**",
"860Z200US11973","ZCTA5 11973","-","**",
"860Z200US11975","ZCTA5 11975","131042","93689",
"860Z200US11976","ZCTA5 11976","180250","77220",
